date,close,high,low,open,volume
2025-05-26,2146.503173828125,2159.086290436716,2137.1159396552134,2155.39132565851,18990
2025-05-27,2133.720458984375,2157.0888237166737,2120.188672462169,2157.0888237166737,8190
2025-05-28,2122.236083984375,2148.0510994545043,2112.199579684001,2142.059185700442,7200
2025-05-29,2153.693603515625,2161.083532859361,2119.1401371199468,2119.1401371199468,18180
2025-05-30,2129.376220703125,2153.693500065778,2111.6501435932737,2153.693500065778,11610
2025-06-02,2069.706787109375,2126.130639206687,2057.3235967400856,2126.130639206687,28170
2025-06-03,449.5333557128906,454.3867912056443,413.9413735269001,413.9413735269001,258750
2025-06-04,451.1212158203125,469.15687397496026,445.40892342790966,454.37680160421206,150300
2025-06-05,443.1119995117188,457.3927455590661,441.4043126274933,451.4008318129915,69750
2025-06-06,444.879638671875,457.18301187609353,443.4016222927108,448.79433863071057,65700
2025-06-09,449.7030944824219,454.3867759961908,445.4089019767734,449.39351472150736,99900
2025-06-10,458.5511779785156,461.3773505037823,447.9954161299148,451.4906990882767,110700
2025-06-11,449.5832824707031,460.3787114218945,442.4029699780895,459.3800591194609,116550
2025-06-12,429.3206176757813,489.2897065768006,421.4312706010514,459.38005800114615,192600
2025-06-13,423.3287048339844,434.36383105986,409.84689875343423,410.44609623008193,322200
2025-06-16,425.9751281738281,434.3638319104234,419.48388819640775,423.328705662939,41850
2025-06-17,433.5149536132813,436.8104938917398,423.4285596582087,426.42451644824325,41850
2025-06-18,425.02642822265625,434.2140111669832,423.9778250137748,434.2140111669832,21150
2025-06-19,414.5904846191406,429.07094256291816,399.71057186185897,424.4272155934792,73800
2025-06-20,426.2247924804688,431.2180540159777,412.4434028330438,413.4420551401456,26100
2025-06-23,423.8779602050781,427.9224896317888,414.4406842408224,426.9238373806061,40500
2025-06-24,426.9238586425781,433.36517817408105,423.428575589364,424.4272278902823,35100
2025-06-25,424.9764709472656,434.413747303402,422.7295032887997,428.421833547493,135900
2025-06-26,422.2301635742188,432.1168453349222,416.43799265354966,425.22612035589896,63450
2025-06-27,423.7281494140625,428.6714903813165,421.8806670807069,424.4272181993233,69300
2025-06-30,425.8253173828125,430.4191238720967,421.5810452796654,423.42855805514847,36000
2025-07-01,470.4151306152344,483.3476894555011,432.3165533371204,432.3665042355362,318150
2025-07-02,460.1290283203125,492.33556367208695,455.88475621969104,471.41378665609136,142200
2025-07-03,486.3935852050781,490.53801658591306,464.373314421478,464.373314421478,132300
2025-07-04,524.6419677734375,532.2317619170342,489.33963292234273,489.33963292234273,339300
2025-07-07,548.1102905273438,564.2385495550777,530.2843713517633,531.2830236518608,274950
2025-07-08,528.3869018554688,549.1589182339695,519.7985165491683,549.1589182339695,117450
2025-07-09,549.7081298828125,563.239855351839,532.7809624649044,532.7809624649044,145800
2025-07-10,563.1400146484375,583.2129000108021,549.2587243252417,558.0468517238667,207000
2025-07-11,553.5529174804688,563.2398562772341,540.4705976821376,563.2398562772341,87750
2025-07-14,550.9564819335938,573.1764954405397,544.265499383619,559.2952041943668,133200
2025-07-15,532.0819091796875,559.2452627014816,524.791759910051,549.2587401532409,147150
2025-07-16,543.6163330078125,548.2600903950495,519.2991748732709,521.2964793920142,63900
2025-07-17,536.5758666992188,547.2614584619572,519.3990350094681,547.2614584619572,79200
2025-07-18,537.3248291015625,544.1656335626247,529.2856907068768,536.5758399166,38250
2025-07-21,550.6569213867188,558.2466547444815,530.7837155575884,537.2749557290358,53550
2025-07-22,542.4180297851562,559.245296927622,538.2735982928361,559.1454560771878,55350
2025-07-23,536.67578125,548.2601237830165,532.3316070854435,546.1629782917827,40950
2025-07-24,530.8336181640625,540.2708945947917,522.3450736094309,533.8295750656972,88650
2025-07-25,533.9793701171875,538.1737217566011,526.7890617286065,531.6824821334051,37800
2025-07-28,529.0360717773438,549.2088610323927,526.2897778700521,539.2722581590667,76950
2025-07-29,554.4517822265625,559.994290431695,519.2992082469575,530.2843838060278,115200
2025-07-30,554.1021728515625,558.2466040426979,544.215552213957,544.215552213957,59850
2025-07-31,552.404541015625,557.0981580368764,548.3599504610803,553.752697231874,88200
2025-08-01,550.5570068359375,562.3910732924302,546.2628140894342,555.2506848879806,103050
2025-08-04,552.2047729492188,563.2398681035767,539.2722141417223,563.2398681035767,108000
2025-08-05,572.2776489257812,582.6636565119129,549.7580533017299,549.7580533017299,242550
2025-08-06,564.9376220703125,581.714968631685,559.2452917317487,572.2776921431318,75600
2025-08-07,580.2169799804688,582.513868054872,567.2345002218696,567.2345002218696,109350
2025-08-08,546.6123046875,595.1967628115848,538.2735824755775,594.1981105249882,208350
2025-08-11,535.37744140625,576.1724219761511,509.6122258085151,552.1548477981662,263596
2025-08-12,538.7728881835938,561.5421472637947,531.8322428644215,547.9105806405258,169581
2025-08-13,559.9443359375,563.239876214131,541.019863367031,549.2587445350568,146418
2025-08-14,658.86083984375,668.7974421918822,563.1400434609478,563.2398843075028,2023770
2025-08-18,705.4979248046875,719.0296511885591,660.10916588283,676.087602575909,1005561
2025-08-19,685.2752075195312,717.0323378696987,669.6961953617655,712.0390764639209,687612
2025-08-20,723.4237060546875,733.3602470668765,688.8703020258766,697.7583313309642,589031
2025-08-21,716.4331665039062,746.9919017393572,707.1456515835988,731.0134653385154,257321
2025-08-22,719.1294555664062,739.0026595767223,709.8420019001428,719.0296147232974,191665
2025-08-25,714.985107421875,737.0053778625547,712.5383971611556,726.0202028537633,212889
2025-08-26,698.1078491210938,723.3238186484805,687.5720799843887,720.9770102221398,280540
2025-08-28,693.8136596679688,708.0444544146669,689.0700614190694,706.0471498888145,161393
2025-08-29,707.1956176757812,712.8379663361477,696.0606206684347,696.0606206684347,79498
2025-09-01,704.6990356445312,720.3778283430412,698.5572994809439,714.2361531323544,117971
2025-09-02,703.9500122070312,717.3818365277859,700.055243957918,713.5370496546825,84450
2025-09-03,757.3279418945312,765.9663086087621,699.4061089097747,714.0363893810495,818551
2025-09-04,778.0999755859375,788.0365173575166,758.7260962944615,778.9488056724975,397130
2025-09-05,769.2618408203125,778.948780148638,751.0863570929313,777.9501278663961,253845
2025-09-08,797.0743408203125,818.4953834413429,762.4210945503761,769.2119178566157,555642
2025-09-09,765.5668334960938,816.348339834411,739.9015179909396,802.8665337016913,448588
2025-09-10,761.672119140625,776.5520017947355,752.7840893158369,770.9595733124884,144242
2025-09-11,755.8299560546875,775.1539143036856,751.0364372865671,763.2200073305091,131974
2025-09-12,787.587158203125,796.6249492980188,762.6707712089466,765.9663115976002,328124
2025-09-15,801.9677124023438,803.9150965659715,788.93531215791,793.9285736272637,171945
2025-09-16,796.1256103515625,812.2038876894096,788.9353017400608,801.9677018124025,166342
2025-09-17,836.8206787109375,847.8557740626338,796.9245084828997,803.6154908574833,448527
2025-09-18,819.9933471679688,845.9583059552995,813.9015927567152,834.4238845307377,228678
2025-09-19,815.0999755859375,836.3712562406428,807.9096672223044,818.8948419311367,117296
2025-09-22,818.4000244140625,822.5,795.5499877929688,817.0,154439
2025-09-23,829.0999755859375,849.5,816.1500244140625,821.9500122070312,199279
2025-09-24,813.7000122070312,834.9500122070312,810.0,830.0,158055
2025-09-25,817.0,836.0,807.4500122070312,813.0,138472
2025-09-26,802.9000244140625,817.0,792.5,817.0,158492
2025-09-29,803.75,816.8499755859375,790.0,802.0999755859375,150087
2025-09-30,798.75,819.4000244140625,793.9500122070312,815.0,114012
2025-10-01,812.0999755859375,819.1500244140625,796.4500122070312,807.9500122070312,128537
2025-10-03,784.1500244140625,839.0,781.0999755859375,817.0,349576
2025-10-06,758.0499877929688,794.7999877929688,746.25,791.0,329540
2025-10-07,752.7999877929688,779.6500244140625,746.5499877929688,765.6500244140625,176033
2025-10-08,772.0499877929688,776.9500122070312,745.4500122070312,749.0,186676
2025-10-09,775.0499877929688,783.9000244140625,766.7999877929688,779.7999877929688,241935
2025-10-10,764.6500244140625,783.5,758.4500122070312,776.0,118953
2025-10-13,770.3499755859375,789.7999877929688,754.7000122070312,754.7000122070312,230583
2025-10-14,736.2000122070312,779.7000122070312,724.8499755859375,773.5999755859375,449929
2025-10-15,742.3499755859375,753.5,730.7999877929688,736.2000122070312,188479
2025-10-16,740.2999877929688,750.25,737.8499755859375,746.0,72827
2025-10-17,734.7000122070312,748.9000244140625,723.5499877929688,744.9500122070312,151306
2025-10-20,759.3499755859375,775.0,743.0,744.9000244140625,144054
2025-10-21,754.6500244140625,766.5999755859375,749.7999877929688,766.0,40356
2025-10-23,725.5499877929688,764.0,717.1500244140625,764.0,209030
2025-10-24,733.0499877929688,741.5499877929688,720.0,720.0,110593
2025-10-27,741.5,745.2000122070312,728.0499877929688,734.0,101827
2025-10-28,737.0,746.7000122070312,726.5,746.7000122070312,90633
2025-10-29,741.2000122070312,754.2999877929688,729.3499755859375,744.8499755859375,247167
2025-10-30,746.2999877929688,749.0,721.0499877929688,741.2000122070312,174096
2025-10-31,742.0,755.2000122070312,739.0999755859375,749.0,78931
2025-11-03,772.4500122070312,789.0,740.0,742.0,187015
2025-11-04,782.5999755859375,805.0,773.2999877929688,801.9500122070312,325872
2025-11-06,785.2000122070312,797.9000244140625,774.0,783.0,562970
2025-11-07,794.0,835.0,755.0499877929688,825.0,1215713
2025-11-10,728.9500122070312,800.2999877929688,722.0,799.0,616755
2025-11-11,732.4000244140625,759.2999877929688,721.0999755859375,725.0,340039
2025-11-12,750.5,753.5,728.4000244140625,744.9500122070312,190448
2025-11-13,739.4000244140625,760.0,733.9500122070312,752.6500244140625,241776
2025-11-14,709.5,737.7999877929688,702.0,732.0,248810
2025-11-17,726.4500122070312,733.0,704.2000122070312,711.5499877929688,224529
2025-11-18,711.6500244140625,740.0,710.0,731.0,167355
2025-11-19,706.9000244140625,724.9500122070312,705.0,715.9500122070312,129001
2025-11-20,716.0499877929688,725.0,705.0,712.0499877929688,156289
2025-11-21,691.9000244140625,725.2000122070312,680.0,719.9500122070312,462820
2025-11-24,683.4000244140625,705.0,680.0,690.0,183868
2025-11-25,728.0,739.75,679.5,689.0,475284
2025-11-26,743.3499755859375,749.2000122070312,723.0,728.0,227133
2025-11-27,731.4000244140625,754.25,728.5499877929688,752.9500122070312,208458
2025-11-28,707.3499755859375,735.8499755859375,705.0,733.5,151634
2025-12-01,721.3499755859375,727.0,704.9000244140625,709.9500122070312,151352
2025-12-02,713.8499755859375,732.5,705.5999755859375,727.0,121676
2025-12-03,695.5999755859375,716.3499755859375,694.0,711.0,118345
2025-12-04,699.2000122070312,709.4500122070312,693.0,701.1500244140625,146273
2025-12-05,684.5999755859375,702.6500244140625,681.4000244140625,699.2000122070312,100405
2025-12-08,673.7999877929688,683.2999877929688,661.25,680.1500244140625,172110
2025-12-09,682.6500244140625,693.1500244140625,663.1500244140625,665.1500244140625,163521
2025-12-10,673.5499877929688,688.7999877929688,668.5,681.4000244140625,100830
2025-12-11,689.6500244140625,695.0,668.5,676.5499877929688,269353
2025-12-12,709.2000122070312,719.3499755859375,681.9000244140625,693.0,164553
2025-12-15,741.25,745.0,700.0,710.0499877929688,234430
2025-12-16,751.0999755859375,760.0,732.4000244140625,739.5499877929688,245546
2025-12-17,744.5999755859375,752.9500122070312,737.0,750.0,103142
2025-12-18,716.3499755859375,741.4500122070312,714.7000122070312,739.8499755859375,86358
2025-12-19,730.5499877929688,736.0,712.0999755859375,717.5999755859375,96909
2025-12-22,712.0499877929688,737.0,710.0,737.0,185203
2025-12-23,711.0999755859375,721.0,707.0,707.5499877929688,104422
2025-12-24,711.1500244140625,718.3499755859375,706.6500244140625,708.5999755859375,142289
2025-12-26,707.2000122070312,714.4000244140625,696.75,709.2999877929688,127278
2025-12-29,694.4500122070312,713.0,687.1500244140625,713.0,123271
2025-12-30,685.8499755859375,694.1500244140625,680.0999755859375,690.0,105231
2025-12-31,680.6500244140625,688.0,677.5499877929688,680.0,89219
2026-01-01,682.2000122070312,685.3499755859375,675.0,680.5,87326
2026-01-02,682.2000122070312,695.2999877929688,675.0499877929688,690.0,143520
2026-01-05,661.75,690.0,660.0,690.0,124455
2026-01-06,674.3499755859375,679.0499877929688,656.6500244140625,669.2999877929688,113118
2026-01-07,684.9000244140625,694.0,655.0,661.0,117797
2026-01-08,685.9500122070312,704.0,678.4000244140625,695.1500244140625,194190
2026-01-09,678.5499877929688,697.9500122070312,675.0499877929688,685.0,118474
2026-01-12,686.9500122070312,702.9500122070312,658.5499877929688,675.0,172808
2026-01-13,716.9000244140625,723.0,688.4000244140625,693.75,144922
2026-01-14,729.5999755859375,748.9000244140625,710.0,710.0,209080
2026-01-15,729.5999755859375,729.5999755859375,729.5999755859375,729.5999755859375,0
2026-01-16,715.0,731.9500122070312,710.5,729.0499877929688,79302
2026-01-23,684.2000122070312,700.6500244140625,675.25,699.0,137480
2026-01-27,659.9000244140625,682.2999877929688,655.5,679.7000122070312,189124
2026-01-28,659.3499755859375,674.2999877929688,645.0999755859375,665.0,187174
2026-01-29,650.4500122070312,667.75,645.5,662.0,109125
2026-01-30,664.3499755859375,673.4500122070312,642.3499755859375,646.0,88578
2026-02-02,648.5499877929688,670.4500122070312,639.5499877929688,664.9500122070312,129758
2026-02-03,674.7000122070312,691.5,648.0499877929688,676.9000244140625,525024
2026-02-04,719.1500244140625,725.1500244140625,675.0499877929688,680.0,422206
2026-02-05,708.9500122070312,733.5,700.2000122070312,719.1500244140625,206810
2026-02-06,712.2999877929688,730.4500122070312,700.0499877929688,711.0,247456
